State_x,District_x,Subdistt,Town/Village,Ward,Level,Name,TRU,No_HH,TOT_P,TOT_M,TOT_F,P_LIT,M_LIT,F_LIT,P_ILL,M_ILL,F_ILL,TOT_WORK_P,Pincode,Pincode_Method,Pincode_Status,LG_ST_Code,State_y,LG_DT_Code,District_y,Agriculture,Dairy & Animal Husbandry,Fishery,Mining & Quarrying,Manufacturer,Food Processing,Textile & Garments,Tailor,Construction,Wholesaler,Retailer,Wholesale & Retail,Repair & Maintenance,Automobile & Vehicle Services,Transport & Logistics,Hotel & Accommodation,Restaurant & Food Service,Beauty & Personal Care,Healthcare & Pharmacy,Education & Training,IT & Telecommunication,Finance & Professional Services,Real Estate & Rental,Personal & Other Services,Other
9,157,819,142985,0,VILLAGE,Gorava Baravki,Rural,423,2131,1088,1043,1245,748,497,886,340,546,608,227120,tehsil_mode_best_effort,existing_village_mapping,9,UTTAR PRADESH,162,LUCKNOW,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,157,819,142986,0,VILLAGE,Saspan,Rural,1505,8378,4361,4017,4303,2618,1685,4075,1743,2332,2449,227109,tehsil_mode_best_effort,existing_village_mapping,9,UTTAR PRADESH,162,LUCKNOW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,157,819,142987,0,VILLAGE,Kamaluddin Nagar,Rural,91,486,262,224,205,143,62,281,119,162,111,227121,tehsil_mode_best_effort,existing_village_mapping,9,UTTAR PRADESH,162,LUCKNOW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,157,819,142988,0,VILLAGE,Gopal Pur,Rural,291,1601,868,733,950,583,367,651,285,366,490,227108,tehsil_mode_best_effort,existing_village_mapping,9,UTTAR PRADESH,162,LUCKNOW,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,157,819,142989,0,VILLAGE,Tilan,Rural,398,2289,1190,1099,1135,724,411,1154,466,688,620,227107,tehsil_mode_best_effort,existing_village_mapping,9,UTTAR PRADESH,162,LUCKNOW,41.0,87.0,0.0,27.0,476.0,76.0,116.0,19.0,182.0,120.0,255.0,0.0,267.0,12.0,434.0,23.0,69.0,56.0,30.0,44.0,39.0,37.0,141.0,23.0,509.0
9,157,819,142990,0,VILLAGE,Jamolia,Rural,825,4628,2443,2185,1876,1192,684,2752,1251,1501,1359,227106,tehsil_mode_best_effort,existing_village_mapping,9,UTTAR PRADESH,162,LUCKNOW,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
9,157,819,142991,0,VILLAGE,Gahndo,Rural,948,4957,2591,2366,2384,1451,933,2573,1140,1433,1401,227105,tehsil_mode_best_effort,existing_village_mapping,9,UTTAR PRADESH,162,LUCKNOW,12.0,16.0,0.0,17.0,240.0,26.0,58.0,5.0,141.0,84.0,166.0,0.0,120.0,9.0,177.0,12.0,32.0,17.0,14.0,24.0,17.0,58.0,80.0,12.0,271.0
9,157,819,142992,0,VILLAGE,Thari,Rural,972,5175,2682,2493,2487,1543,944,2688,1139,1549,1806,227125,tehsil_mode_best_effort,existing_village_mapping,9,UTTAR PRADESH,162,LUCKNOW,15.0,27.0,0.0,11.0,161.0,52.0,35.0,4.0,42.0,39.0,147.0,0.0,137.0,12.0,247.0,3.0,24.0,24.0,8.0,11.0,14.0,11.0,39.0,12.0,156.0
9,157,819,142993,0,VILLAGE,Barkhorava,Rural,321,1717,916,801,772,481,291,945,435,510,448,227104,tehsil_mode_best_effort,existing_village_mapping,9,UTTAR PRADESH,162,LUCKNOW,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
9,157,819,142994,0,VILLAGE,Muriyara,Rural,585,2975,1562,1413,1548,955,593,1427,607,820,1081,227126,tehsil_mode_best_effort,existing_village_mapping,9,UTTAR PRADESH,162,LUCKNOW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
9,157,819,142995,0,VILLAGE,Kharsara,Rural,684,3557,1848,1709,1735,1083,652,1822,765,1057,1810,227103,tehsil_mode_best_effort,existing_village_mapping,9,UTTAR PRADESH,162,LUCKNOW,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
9,157,819,142996,0,VILLAGE,Saidapur,Rural,478,2562,1330,1232,1384,816,568,1178,514,664,1069,227127,tehsil_mode_best_effort,existing_village_mapping,9,UTTAR PRADESH,162,LUCKNOW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
9,157,819,142997,0,VILLAGE,Auntgarhi Saura,Rural,793,4532,2411,2121,2624,1588,1036,1908,823,1085,1282,227102,verified_name_population_match,existing_village_mapping,9,UTTAR PRADESH,162,LUCKNOW,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,157,819,142998,0,VILLAGE,Visunpur,Rural,21,145,68,77,107,54,53,38,14,24,40,227101,tehsil_mode_best_effort,existing_village_mapping,9,UTTAR PRADESH,162,LUCKNOW,9.0,13.0,0.0,11.0,127.0,35.0,44.0,5.0,48.0,34.0,107.0,0.0,88.0,4.0,222.0,7.0,22.0,14.0,7.0,10.0,10.0,18.0,39.0,7.0,162.0
9,157,819,142999,0,VILLAGE,Karend,Rural,489,2467,1297,1170,1299,796,503,1168,501,667,681,227100,tehsil_mode_best_effort,existing_village_mapping,9,UTTAR PRADESH,162,LUCKNOW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,157,819,143000,0,VILLAGE,Para Bhadrahi,Rural,806,4451,2391,2060,2358,1496,862,2093,895,1198,1399,227131,tehsil_mode_best_effort,existing_village_mapping,9,UTTAR PRADESH,162,LUCKNOW,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,6.0,0.0,7.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,5.0
9,157,819,143001,0,VILLAGE,Navbasta,Rural,159,781,420,361,363,220,143,418,200,218,194,227089,tehsil_mode_best_effort,existing_village_mapping,9,UTTAR PRADESH,162,LUCKNOW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
9,157,819,143002,0,VILLAGE,Shahmau,Rural,226,1117,588,529,623,383,240,494,205,289,433,227071,tehsil_mode_best_effort,existing_village_mapping,9,UTTAR PRADESH,162,LUCKNOW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
9,157,819,143003,0,VILLAGE,Atari,Rural,361,2308,1231,1077,1342,847,495,966,384,582,777,227170,verified_name_population_match,existing_village_mapping,9,UTTAR PRADESH,162,LUCKNOW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,157,819,143004,0,VILLAGE,Roodan Khera,Rural,168,1021,489,532,601,331,270,420,158,262,277,227193,verified_name_population_match,existing_village_mapping,9,UTTAR PRADESH,162,LUCKNOW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
9,157,819,143005,0,VILLAGE,Jindana,Rural,188,1050,535,515,609,360,249,441,175,266,400,227029,tehsil_mode_best_effort,existing_village_mapping,9,UTTAR PRADESH,162,LUCKNOW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,157,819,143006,0,VILLAGE,Mawai Khurd,Rural,289,1556,835,721,846,520,326,710,315,395,477,227201,verified_name_population_match,existing_village_mapping,9,UTTAR PRADESH,162,LUCKNOW,1.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0
9,157,819,143007,0,VILLAGE,Basant Pur,Rural,540,2883,1506,1377,1695,996,699,1188,510,678,731,227202,verified_name_population_match,existing_village_mapping,9,UTTAR PRADESH,162,LUCKNOW,28.0,47.0,0.0,8.0,338.0,60.0,75.0,11.0,107.0,78.0,253.0,0.0,188.0,23.0,271.0,21.0,70.0,28.0,27.0,24.0,41.0,50.0,81.0,27.0,301.0
9,157,819,143008,0,VILLAGE,Bhelam Pur,Rural,88,491,259,232,280,165,115,211,94,117,118,227203,verified_name_population_match,existing_village_mapping,9,UTTAR PRADESH,162,LUCKNOW,2.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
9,157,819,143009,0,VILLAGE,Birpur,Rural,364,1885,1005,880,1009,619,390,876,386,490,749,227025,verified_name_population_match,existing_village_mapping,9,UTTAR PRADESH,162,LUCKNOW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,157,819,143010,0,VILLAGE,Devari Ganja,Rural,174,1073,585,488,755,455,300,318,130,188,308,227205,tehsil_mode_best_effort,existing_village_mapping,9,UTTAR PRADESH,162,LUCKNOW,25.0,33.0,0.0,10.0,179.0,38.0,37.0,3.0,36.0,43.0,110.0,0.0,124.0,13.0,202.0,6.0,32.0,14.0,11.0,12.0,22.0,16.0,26.0,7.0,179.0
9,157,819,143011,0,VILLAGE,Akbar Pur,Rural,191,1024,542,482,604,383,221,420,159,261,303,227206,tehsil_mode_best_effort,existing_village_mapping,9,UTTAR PRADESH,162,LUCKNOW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
9,157,819,143012,0,VILLAGE,Shankar Pur,Rural,348,1906,1018,888,1108,679,429,798,339,459,832,227023,verified_name_population_match,existing_village_mapping,9,UTTAR PRADESH,162,LUCKNOW,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,157,819,143013,0,VILLAGE,Godhan,Rural,35,157,81,76,52,28,24,105,53,52,86,227207,verified_name_population_match,existing_village_mapping,9,UTTAR PRADESH,162,LUCKNOW,0.0,2.0,0.0,0.0,3.0,1.0,1.0,1.0,0.0,1.0,3.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
9,157,819,143014,0,VILLAGE,Saleh Nagar,Rural,723,3962,2092,1870,2169,1337,832,1793,755,1038,1116,227021,tehsil_mode_best_effort,existing_village_mapping,9,UTTAR PRADESH,162,LUCKNOW,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,157,819,143015,0,VILLAGE,Raipur,Rural,246,1343,704,639,849,506,343,494,198,296,519,227209,verified_name_population_match,existing_village_mapping,9,UTTAR PRADESH,162,LUCKNOW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
9,157,819,143016,0,VILLAGE,Badiya,Rural,528,3083,1589,1494,1696,988,708,1387,601,786,916,227017,tehsil_mode_best_effort,existing_village_mapping,9,UTTAR PRADESH,162,LUCKNOW,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,157,819,143017,0,VILLAGE,Tikari Kala,Rural,202,1155,612,543,599,364,235,556,248,308,282,227016,tehsil_mode_best_effort,existing_village_mapping,9,UTTAR PRADESH,162,LUCKNOW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,157,819,143018,0,VILLAGE,Kamalpur Lodhaura,Rural,218,1086,592,494,601,374,227,485,218,267,352,227015,verified_name_population_match,existing_village_mapping,9,UTTAR PRADESH,162,LUCKNOW,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,157,819,143019,0,VILLAGE,Didhara,Rural,162,782,406,376,473,289,184,309,117,192,347,227010,verified_name_population_match,existing_village_mapping,9,UTTAR PRADESH,162,LUCKNOW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
9,157,819,143020,0,VILLAGE,Pipari Kurakhar,Rural,430,2443,1251,1192,1442,857,585,1001,394,607,628,227007,tehsil_mode_best_effort,existing_village_mapping,9,UTTAR PRADESH,162,LUCKNOW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,157,819,143021,0,VILLAGE,Bahraura,Rural,350,1813,953,860,1079,630,449,734,323,411,467,227005,verified_name_population_match,existing_village_mapping,9,UTTAR PRADESH,162,LUCKNOW,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,157,819,143022,0,VILLAGE,Pakara,Rural,286,1626,849,777,973,582,391,653,267,386,679,227003,tehsil_mode_best_effort,existing_village_mapping,9,UTTAR PRADESH,162,LUCKNOW,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,157,819,143023,0,VILLAGE,Devari Bharat,Rural,238,1258,655,603,704,417,287,554,238,316,356,227002,tehsil_mode_best_effort,existing_village_mapping,9,UTTAR PRADESH,162,LUCKNOW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,157,819,143024,0,VILLAGE,Shahpurgorava,Rural,268,1370,710,660,771,476,295,599,234,365,549,227000,tehsil_mode_best_effort,existing_village_mapping,9,UTTAR PRADESH,162,LUCKNOW,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,157,819,143025,0,VILLAGE,Madwana,Rural,783,4393,2236,2157,2701,1555,1146,1692,681,1011,1290,227230,tehsil_mode_best_effort,existing_village_mapping,9,UTTAR PRADESH,162,LUCKNOW,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,157,819,143026,0,VILLAGE,Ataria,Rural,133,810,407,403,468,253,215,342,154,188,207,226993,tehsil_mode_best_effort,existing_village_mapping,9,UTTAR PRADESH,162,LUCKNOW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,157,819,143027,0,VILLAGE,Manjhi Nikrojpur,Rural,412,2484,1337,1147,1554,932,622,930,405,525,719,226991,tehsil_mode_best_effort,existing_village_mapping,9,UTTAR PRADESH,162,LUCKNOW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
9,157,819,143028,0,VILLAGE,Majhauva,Rural,227,1016,528,488,548,341,207,468,187,281,258,226960,tehsil_mode_best_effort,existing_village_mapping,9,UTTAR PRADESH,162,LUCKNOW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,157,819,143029,0,VILLAGE,Danaur,Rural,285,1506,766,740,857,514,343,649,252,397,508,227301,tehsil_mode_best_effort,existing_village_mapping,9,UTTAR PRADESH,162,LUCKNOW,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,0.0,6.0,1.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
9,157,819,143030,0,VILLAGE,Sultanpur,Rural,62,337,189,148,198,137,61,139,52,87,97,226928,tehsil_mode_best_effort,existing_village_mapping,9,UTTAR PRADESH,162,LUCKNOW,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
9,157,819,143031,0,VILLAGE,Aumau,Rural,414,2245,1202,1043,1126,716,410,1119,486,633,671,227302,tehsil_mode_best_effort,existing_village_mapping,9,UTTAR PRADESH,162,LUCKNOW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
9,157,819,143032,0,VILLAGE,Khakhara,Rural,86,447,232,215,240,146,94,207,86,121,175,227303,tehsil_mode_best_effort,existing_village_mapping,9,UTTAR PRADESH,162,LUCKNOW,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,5.0,1.0,1.0,2.0,0.0,18.0
9,157,819,143033,0,VILLAGE,Kolava Bhanaura,Rural,400,2136,1131,1005,1254,739,515,882,392,490,950,227304,tehsil_mode_best_effort,existing_village_mapping,9,UTTAR PRADESH,162,LUCKNOW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
9,157,819,143034,0,VILLAGE,Adampur,Rural,138,756,399,357,339,204,135,417,195,222,179,227305,tehsil_mode_best_effort,existing_village_mapping,9,UTTAR PRADESH,162,LUCKNOW,35.0,44.0,0.0,23.0,206.0,38.0,56.0,8.0,82.0,75.0,170.0,0.0,181.0,9.0,270.0,6.0,43.0,22.0,9.0,9.0,22.0,42.0,68.0,21.0,323.0
9,157,819,143035,0,VILLAGE,Garhthamma,Rural,103,541,289,252,270,167,103,271,122,149,307,227306,tehsil_mode_best_effort,existing_village_mapping,9,UTTAR PRADESH,162,LUCKNOW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
9,157,819,143036,0,VILLAGE,Latifpur,Rural,160,969,475,494,549,292,257,420,183,237,287,227307,tehsil_mode_best_effort,existing_village_mapping,9,UTTAR PRADESH,162,LUCKNOW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
9,157,819,143037,0,VILLAGE,Gauraiya,Rural,183,974,510,464,466,282,184,508,228,280,363,227308,tehsil_mode_best_effort,existing_village_mapping,9,UTTAR PRADESH,162,LUCKNOW,31.0,28.0,0.0,11.0,115.0,38.0,28.0,5.0,32.0,42.0,141.0,0.0,112.0,5.0,111.0,2.0,26.0,11.0,6.0,7.0,13.0,17.0,28.0,4.0,129.0
9,157,819,143038,0,VILLAGE,Jagdishpur Bujurg,Rural,134,903,464,439,546,310,236,357,154,203,423,226921,tehsil_mode_best_effort,existing_village_mapping,9,UTTAR PRADESH,162,LUCKNOW,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
